,video,frame,Risk_Obj_feature,Risk_Obj_No
16,000353,16,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 612.0, ""1"": 652.0}, ""y1"": {""0"": 358.0, ""1"": 395.0}, ""x2"": {""0"": 660.0, ""1"": 685.0}, ""y2"": {""0"": 431.0, ""1"": 422.0}}",2
17,000353,17,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 607.0, ""1"": 652.0}, ""y1"": {""0"": 358.0, ""1"": 395.0}, ""x2"": {""0"": 655.0, ""1"": 685.0}, ""y2"": {""0"": 431.0, ""1"": 422.0}}",2
18,000353,18,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 607.0, ""1"": 645.0}, ""y1"": {""0"": 358.0, ""1"": 396.0}, ""x2"": {""0"": 652.0, ""1"": 678.0}, ""y2"": {""0"": 431.0, ""1"": 423.0}}",2
19,000353,19,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 607.0, ""1"": 645.0}, ""y1"": {""0"": 358.0, ""1"": 396.0}, ""x2"": {""0"": 652.0, ""1"": 678.0}, ""y2"": {""0"": 431.0, ""1"": 423.0}}",2
20,000353,20,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 600.0, ""1"": 640.0}, ""y1"": {""0"": 358.0, ""1"": 396.0}, ""x2"": {""0"": 645.0, ""1"": 673.0}, ""y2"": {""0"": 431.0, ""1"": 423.0}}",2
21,000353,21,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 600.0, ""1"": 640.0}, ""y1"": {""0"": 358.0, ""1"": 396.0}, ""x2"": {""0"": 645.0, ""1"": 673.0}, ""y2"": {""0"": 431.0, ""1"": 423.0}}",2
22,000353,22,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 600.0, ""1"": 640.0}, ""y1"": {""0"": 358.0, ""1"": 396.0}, ""x2"": {""0"": 645.0, ""1"": 673.0}, ""y2"": {""0"": 431.0, ""1"": 423.0}}",2
23,000353,23,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 594.0, ""1"": 640.0}, ""y1"": {""0"": 356.0, ""1"": 396.0}, ""x2"": {""0"": 645.0, ""1"": 673.0}, ""y2"": {""0"": 431.0, ""1"": 423.0}}",2
24,000353,24,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 594.0, ""1"": 640.0}, ""y1"": {""0"": 356.0, ""1"": 396.0}, ""x2"": {""0"": 645.0, ""1"": 673.0}, ""y2"": {""0"": 431.0, ""1"": 423.0}}",2
25,000353,25,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 594.0, ""1"": 640.0}, ""y1"": {""0"": 356.0, ""1"": 396.0}, ""x2"": {""0"": 645.0, ""1"": 673.0}, ""y2"": {""0"": 431.0, ""1"": 423.0}}",2
26,000353,26,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 594.0, ""1"": 635.0}, ""y1"": {""0"": 356.0, ""1"": 396.0}, ""x2"": {""0"": 645.0, ""1"": 668.0}, ""y2"": {""0"": 431.0, ""1"": 423.0}}",2
27,000353,27,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 588.0, ""1"": 635.0}, ""y1"": {""0"": 358.0, ""1"": 396.0}, ""x2"": {""0"": 645.0, ""1"": 668.0}, ""y2"": {""0"": 431.0, ""1"": 423.0}}",2
28,000353,28,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 585.0, ""1"": 630.0}, ""y1"": {""0"": 357.0, ""1"": 395.0}, ""x2"": {""0"": 642.0, ""1"": 663.0}, ""y2"": {""0"": 430.0, ""1"": 422.0}}",2
29,000353,29,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 585.0, ""1"": 630.0}, ""y1"": {""0"": 357.0, ""1"": 395.0}, ""x2"": {""0"": 640.0, ""1"": 663.0}, ""y2"": {""0"": 428.0, ""1"": 422.0}}",2
30,000353,30,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 585.0, ""1"": 630.0}, ""y1"": {""0"": 357.0, ""1"": 395.0}, ""x2"": {""0"": 639.0, ""1"": 663.0}, ""y2"": {""0"": 428.0, ""1"": 422.0}}",2
31,000353,31,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 580.0, ""1"": 622.0}, ""y1"": {""0"": 357.0, ""1"": 395.0}, ""x2"": {""0"": 634.0, ""1"": 655.0}, ""y2"": {""0"": 428.0, ""1"": 422.0}}",2
32,000353,32,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 575.0, ""1"": 617.0}, ""y1"": {""0"": 357.0, ""1"": 395.0}, ""x2"": {""0"": 629.0, ""1"": 650.0}, ""y2"": {""0"": 428.0, ""1"": 422.0}}",2
33,000353,33,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 564.0, ""1"": 617.0}, ""y1"": {""0"": 357.0, ""1"": 395.0}, ""x2"": {""0"": 629.0, ""1"": 650.0}, ""y2"": {""0"": 433.0, ""1"": 422.0}}",2
34,000353,34,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 559.0, ""1"": 617.0}, ""y1"": {""0"": 359.0, ""1"": 395.0}, ""x2"": {""0"": 624.0, ""1"": 650.0}, ""y2"": {""0"": 435.0, ""1"": 422.0}}",2
35,000353,35,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 553.0, ""1"": 609.0}, ""y1"": {""0"": 359.0, ""1"": 396.0}, ""x2"": {""0"": 618.0, ""1"": 642.0}, ""y2"": {""0"": 435.0, ""1"": 423.0}}",2
36,000353,36,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 553.0, ""1"": 609.0}, ""y1"": {""0"": 359.0, ""1"": 396.0}, ""x2"": {""0"": 618.0, ""1"": 642.0}, ""y2"": {""0"": 435.0, ""1"": 423.0}}",2
37,000353,37,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 544.0, ""1"": 609.0}, ""y1"": {""0"": 359.0, ""1"": 396.0}, ""x2"": {""0"": 609.0, ""1"": 642.0}, ""y2"": {""0"": 435.0, ""1"": 423.0}}",2
38,000353,38,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 533.0, ""1"": 597.0}, ""y1"": {""0"": 359.0, ""1"": 396.0}, ""x2"": {""0"": 598.0, ""1"": 630.0}, ""y2"": {""0"": 435.0, ""1"": 423.0}}",2
39,000353,39,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 532.0, ""1"": 592.0}, ""y1"": {""0"": 358.0, ""1"": 404.0}, ""x2"": {""0"": 597.0, ""1"": 625.0}, ""y2"": {""0"": 434.0, ""1"": 431.0}}",2
40,000353,40,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 524.0, ""1"": 585.0}, ""y1"": {""0"": 358.0, ""1"": 402.0}, ""x2"": {""0"": 589.0, ""1"": 618.0}, ""y2"": {""0"": 434.0, ""1"": 429.0}}",2
41,000353,41,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 519.0, ""1"": 585.0}, ""y1"": {""0"": 358.0, ""1"": 402.0}, ""x2"": {""0"": 584.0, ""1"": 618.0}, ""y2"": {""0"": 434.0, ""1"": 429.0}}",2
42,000353,42,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 512.0, ""1"": 576.0}, ""y1"": {""0"": 358.0, ""1"": 398.0}, ""x2"": {""0"": 577.0, ""1"": 609.0}, ""y2"": {""0"": 434.0, ""1"": 425.0}}",2
43,000353,43,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 512.0, ""1"": 568.0}, ""y1"": {""0"": 358.0, ""1"": 398.0}, ""x2"": {""0"": 571.0, ""1"": 601.0}, ""y2"": {""0"": 435.0, ""1"": 425.0}}",2
44,000353,44,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 504.0, ""1"": 557.0}, ""y1"": {""0"": 358.0, ""1"": 393.0}, ""x2"": {""0"": 561.0, ""1"": 601.0}, ""y2"": {""0"": 435.0, ""1"": 425.0}}",2
45,000353,45,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 504.0, ""1"": 552.0}, ""y1"": {""0"": 358.0, ""1"": 393.0}, ""x2"": {""0"": 556.0, ""1"": 596.0}, ""y2"": {""0"": 435.0, ""1"": 425.0}}",2
46,000353,46,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 488.0, ""1"": 543.0}, ""y1"": {""0"": 358.0, ""1"": 393.0}, ""x2"": {""0"": 548.0, ""1"": 587.0}, ""y2"": {""0"": 435.0, ""1"": 425.0}}",2
47,000353,47,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 480.0, ""1"": 536.0}, ""y1"": {""0"": 353.0, ""1"": 394.0}, ""x2"": {""0"": 540.0, ""1"": 580.0}, ""y2"": {""0"": 430.0, ""1"": 426.0}}",2
48,000353,48,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 474.0, ""1"": 529.0}, ""y1"": {""0"": 353.0, ""1"": 394.0}, ""x2"": {""0"": 534.0, ""1"": 573.0}, ""y2"": {""0"": 430.0, ""1"": 426.0}}",2
49,000353,49,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 462.0, ""1"": 529.0}, ""y1"": {""0"": 353.0, ""1"": 394.0}, ""x2"": {""0"": 529.0, ""1"": 573.0}, ""y2"": {""0"": 430.0, ""1"": 426.0}}",2
50,000849,0,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 606.0, ""1"": 637.0, ""2"": 674.0, ""3"": 746.0}, ""y1"": {""0"": 388.0, ""1"": 384.0, ""2"": 373.0, ""3"": 387.0}, ""x2"": {""0"": 644.0, ""1"": 671.0, ""2"": 721.0, ""3"": 770.0}, ""y2"": {""0"": 425.0, ""1"": 418.0, ""2"": 417.0, ""3"": 410.0}}",4
51,000849,1,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 597.0, ""1"": 637.0, ""2"": 674.0, ""3"": 744.0}, ""y1"": {""0"": 388.0, ""1"": 384.0, ""2"": 373.0, ""3"": 383.0}, ""x2"": {""0"": 644.0, ""1"": 671.0, ""2"": 721.0, ""3"": 768.0}, ""y2"": {""0"": 425.0, ""1"": 418.0, ""2"": 417.0, ""3"": 406.0}}",4
52,000849,2,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 597.0, ""1"": 637.0, ""2"": 674.0, ""3"": 744.0}, ""y1"": {""0"": 388.0, ""1"": 384.0, ""2"": 373.0, ""3"": 380.0}, ""x2"": {""0"": 644.0, ""1"": 676.0, ""2"": 717.0, ""3"": 768.0}, ""y2"": {""0"": 425.0, ""1"": 423.0, ""2"": 417.0, ""3"": 406.0}}",4
53,000849,3,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 597.0, ""1"": 637.0, ""2"": 670.0, ""3"": 739.0}, ""y1"": {""0"": 388.0, ""1"": 384.0, ""2"": 369.0, ""3"": 383.0}, ""x2"": {""0"": 644.0, ""1"": 675.0, ""2"": 713.0, ""3"": 770.0}, ""y2"": {""0"": 425.0, ""1"": 431.0, ""2"": 413.0, ""3"": 409.0}}",4
54,000849,4,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 597.0, ""1"": 637.0, ""2"": 666.0, ""3"": 739.0}, ""y1"": {""0"": 394.0, ""1"": 384.0, ""2"": 387.0, ""3"": 390.0}, ""x2"": {""0"": 644.0, ""1"": 675.0, ""2"": 709.0, ""3"": 770.0}, ""y2"": {""0"": 431.0, ""1"": 431.0, ""2"": 431.0, ""3"": 416.0}}",4
55,000849,5,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 597.0, ""1"": 637.0, ""2"": 666.0, ""3"": 733.0}, ""y1"": {""0"": 401.0, ""1"": 389.0, ""2"": 387.0, ""3"": 396.0}, ""x2"": {""0"": 644.0, ""1"": 675.0, ""2"": 709.0, ""3"": 764.0}, ""y2"": {""0"": 438.0, ""1"": 436.0, ""2"": 431.0, ""3"": 422.0}}",4
56,000849,6,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 594.0, ""1"": 637.0, ""2"": 666.0, ""3"": 737.0}, ""y1"": {""0"": 411.0, ""1"": 404.0, ""2"": 401.0, ""3"": 403.0}, ""x2"": {""0"": 641.0, ""1"": 675.0, ""2"": 709.0, ""3"": 768.0}, ""y2"": {""0"": 448.0, ""1"": 451.0, ""2"": 445.0, ""3"": 429.0}}",4
57,000849,7,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 584.0, ""1"": 637.0, ""2"": 666.0, ""3"": 737.0}, ""y1"": {""0"": 411.0, ""1"": 404.0, ""2"": 401.0, ""3"": 413.0}, ""x2"": {""0"": 641.0, ""1"": 675.0, ""2"": 709.0, ""3"": 768.0}, ""y2"": {""0"": 451.0, ""1"": 451.0, ""2"": 445.0, ""3"": 439.0}}",4
58,000849,8,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 584.0, ""1"": 637.0, ""2"": 666.0, ""3"": 734.0}, ""y1"": {""0"": 411.0, ""1"": 404.0, ""2"": 401.0, ""3"": 416.0}, ""x2"": {""0"": 641.0, ""1"": 675.0, ""2"": 709.0, ""3"": 765.0}, ""y2"": {""0"": 451.0, ""1"": 451.0, ""2"": 445.0, ""3"": 442.0}}",4
59,000849,9,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 584.0, ""1"": 637.0, ""2"": 666.0, ""3"": 734.0}, ""y1"": {""0"": 411.0, ""1"": 404.0, ""2"": 401.0, ""3"": 411.0}, ""x2"": {""0"": 641.0, ""1"": 675.0, ""2"": 709.0, ""3"": 765.0}, ""y2"": {""0"": 451.0, ""1"": 451.0, ""2"": 445.0, ""3"": 437.0}}",4
60,000849,10,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 584.0, ""1"": 630.0, ""2"": 666.0, ""3"": 731.0}, ""y1"": {""0"": 411.0, ""1"": 404.0, ""2"": 398.0, ""3"": 406.0}, ""x2"": {""0"": 641.0, ""1"": 677.0, ""2"": 710.0, ""3"": 762.0}, ""y2"": {""0"": 451.0, ""1"": 451.0, ""2"": 445.0, ""3"": 432.0}}",4
61,000849,11,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 574.0, ""1"": 630.0, ""2"": 665.0, ""3"": 729.0}, ""y1"": {""0"": 398.0, ""1"": 394.0, ""2"": 393.0, ""3"": 398.0}, ""x2"": {""0"": 638.0, ""1"": 677.0, ""2"": 709.0, ""3"": 760.0}, ""y2"": {""0"": 444.0, ""1"": 441.0, ""2"": 440.0, ""3"": 424.0}}",4
62,000849,12,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 574.0, ""1"": 630.0, ""2"": 667.0, ""3"": 725.0}, ""y1"": {""0"": 398.0, ""1"": 394.0, ""2"": 388.0, ""3"": 394.0}, ""x2"": {""0"": 638.0, ""1"": 677.0, ""2"": 711.0, ""3"": 760.0}, ""y2"": {""0"": 444.0, ""1"": 441.0, ""2"": 435.0, ""3"": 424.0}}",4
63,000849,13,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 574.0, ""1"": 625.0, ""2"": 672.0, ""3"": 719.0}, ""y1"": {""0"": 398.0, ""1"": 394.0, ""2"": 388.0, ""3"": 394.0}, ""x2"": {""0"": 638.0, ""1"": 679.0, ""2"": 716.0, ""3"": 760.0}, ""y2"": {""0"": 444.0, ""1"": 441.0, ""2"": 435.0, ""3"": 430.0}}",4
64,000849,14,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 574.0, ""1"": 625.0, ""2"": 672.0, ""3"": 719.0}, ""y1"": {""0"": 398.0, ""1"": 394.0, ""2"": 388.0, ""3"": 394.0}, ""x2"": {""0"": 638.0, ""1"": 679.0, ""2"": 716.0, ""3"": 760.0}, ""y2"": {""0"": 444.0, ""1"": 441.0, ""2"": 435.0, ""3"": 430.0}}",4
65,000849,15,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 574.0, ""1"": 625.0, ""2"": 672.0, ""3"": 719.0}, ""y1"": {""0"": 398.0, ""1"": 394.0, ""2"": 388.0, ""3"": 394.0}, ""x2"": {""0"": 638.0, ""1"": 679.0, ""2"": 716.0, ""3"": 760.0}, ""y2"": {""0"": 444.0, ""1"": 441.0, ""2"": 435.0, ""3"": 430.0}}",4
66,000849,16,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 574.0, ""1"": 625.0, ""2"": 672.0, ""3"": 716.0}, ""y1"": {""0"": 398.0, ""1"": 394.0, ""2"": 388.0, ""3"": 388.0}, ""x2"": {""0"": 638.0, ""1"": 679.0, ""2"": 720.0, ""3"": 757.0}, ""y2"": {""0"": 444.0, ""1"": 441.0, ""2"": 438.0, ""3"": 428.0}}",4
67,000849,17,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 570.0, ""1"": 625.0, ""2"": 672.0, ""3"": 716.0}, ""y1"": {""0"": 400.0, ""1"": 394.0, ""2"": 388.0, ""3"": 388.0}, ""x2"": {""0"": 634.0, ""1"": 679.0, ""2"": 727.0, ""3"": 764.0}, ""y2"": {""0"": 446.0, ""1"": 441.0, ""2"": 431.0, ""3"": 428.0}}",4
68,000849,18,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 573.0, ""1"": 630.0, ""2"": 676.0, ""3"": 713.0}, ""y1"": {""0"": 393.0, ""1"": 390.0, ""2"": 387.0, ""3"": 384.0}, ""x2"": {""0"": 637.0, ""1"": 684.0, ""2"": 731.0, ""3"": 756.0}, ""y2"": {""0"": 439.0, ""1"": 437.0, ""2"": 430.0, ""3"": 422.0}}",4
69,000849,19,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 569.0, ""1"": 630.0, ""2"": 679.0, ""3"": 705.0}, ""y1"": {""0"": 385.0, ""1"": 380.0, ""2"": 378.0, ""3"": 373.0}, ""x2"": {""0"": 633.0, ""1"": 686.0, ""2"": 754.0, ""3"": 757.0}, ""y2"": {""0"": 431.0, ""1"": 432.0, ""2"": 423.0, ""3"": 411.0}}",4
70,000849,20,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 561.0, ""1"": 626.0, ""2"": 679.0, ""3"": 697.0}, ""y1"": {""0"": 375.0, ""1"": 371.0, ""2"": 379.0, ""3"": 368.0}, ""x2"": {""0"": 633.0, ""1"": 682.0, ""2"": 741.0, ""3"": 750.0}, ""y2"": {""0"": 431.0, ""1"": 423.0, ""2"": 419.0, ""3"": 408.0}}",4
71,000849,21,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 550.0, ""1"": 626.0, ""2"": 674.0, ""3"": 685.0}, ""y1"": {""0"": 375.0, ""1"": 371.0, ""2"": 378.0, ""3"": 369.0}, ""x2"": {""0"": 633.0, ""1"": 682.0, ""2"": 736.0, ""3"": 732.0}, ""y2"": {""0"": 435.0, ""1"": 423.0, ""2"": 419.0, ""3"": 392.0}}",4
72,000849,22,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 550.0, ""1"": 614.0, ""2"": 674.0, ""3"": 674.0}, ""y1"": {""0"": 375.0, ""1"": 373.0, ""2"": 378.0, ""3"": 369.0}, ""x2"": {""0"": 633.0, ""1"": 679.0, ""2"": 731.0, ""3"": 721.0}, ""y2"": {""0"": 435.0, ""1"": 435.0, ""2"": 426.0, ""3"": 392.0}}",4
73,000849,23,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 543.0, ""1"": 614.0, ""2"": 674.0, ""3"": 655.0}, ""y1"": {""0"": 375.0, ""1"": 373.0, ""2"": 382.0, ""3"": 366.0}, ""x2"": {""0"": 633.0, ""1"": 679.0, ""2"": 731.0, ""3"": 708.0}, ""y2"": {""0"": 444.0, ""1"": 435.0, ""2"": 430.0, ""3"": 400.0}}",4
74,000849,24,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 539.0, ""1"": 620.0, ""2"": 674.0, ""3"": 646.0}, ""y1"": {""0"": 384.0, ""1"": 378.0, ""2"": 382.0, ""3"": 372.0}, ""x2"": {""0"": 629.0, ""1"": 684.0, ""2"": 736.0, ""3"": 699.0}, ""y2"": {""0"": 453.0, ""1"": 438.0, ""2"": 435.0, ""3"": 406.0}}",4
75,000849,25,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 539.0, ""1"": 620.0, ""2"": 685.0, ""3"": 646.0}, ""y1"": {""0"": 384.0, ""1"": 378.0, ""2"": 383.0, ""3"": 372.0}, ""x2"": {""0"": 629.0, ""1"": 684.0, ""2"": 741.0, ""3"": 699.0}, ""y2"": {""0"": 453.0, ""1"": 438.0, ""2"": 436.0, ""3"": 406.0}}",4
76,000849,26,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 539.0, ""1"": 620.0, ""2"": 685.0, ""3"": 637.0}, ""y1"": {""0"": 375.0, ""1"": 378.0, ""2"": 383.0, ""3"": 372.0}, ""x2"": {""0"": 629.0, ""1"": 697.0, ""2"": 747.0, ""3"": 699.0}, ""y2"": {""0"": 460.0, ""1"": 449.0, ""2"": 436.0, ""3"": 416.0}}",4
77,000849,27,"{""region_id"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}, ""x1"": {""0"": 533.0, ""1"": 620.0, ""2"": 685.0, ""3"": 631.0}, ""y1"": {""0"": 375.0, ""1"": 378.0, ""2"": 383.0, ""3"": 374.0}, ""x2"": {""0"": 634.0, ""1"": 697.0, ""2"": 752.0, ""3"": 693.0}, ""y2"": {""0"": 465.0, ""1"": 449.0, ""2"": 436.0, ""3"": 418.0}}",4
